favicon_source,favicon_status,favicon_url,foundry_id,foundry_name,foundry_url,release_count
fallback:/favicon.ico,ok,https://boldmonday.com/favicon.ico,bold-monday,Bold Monday,https://boldmonday.com,31
icon,ok,https://yellowdesignstudio.com/favicon.svg,yellow-design-studio,Yellow Design Studio,https://yellowdesignstudio.com,31
icon,ok,https://newlyn.com/newlyn-icon-64x64-01.png,newlyn,Newlyn,https://newlyn.com/,30
,not_found,,facetype,FaceType,https://www.facetype.org/,29
,not_found,,identity-letters,Identity Letters,https://www.identity-letters.com/,29
icon,ok,https://ludwigtype.de/favicon/favicon-96x96.png,ludwigtype,LudwigType,https://www.ludwigtype.de/,29
fallback:/favicon.ico,ok,https://www.marksimonson.com/favicon.ico,mark-simonson-studio,Mark Simonson Studio,https://www.marksimonson.com/,29
icon,ok,https://hex.xyz/assets/favicon.png?2022-02-02,hex-projects,HEX Projects,https://hex.xyz,26
,not_found,,studio-rene-bieder,Studio René Bieder,https://renebieder.com,26
shortcut icon,ok,https://fortfoundry.com/static/images/favicon.png,fort-foundry,Fort Foundry,https://fortfoundry.com/,25
,not_found,,kimmy-design,Kimmy Design,https://kimmydesign.com/,25
icon,ok,https://plau.design/vermelho-favicon-32x32.png,plau,Plau,https://plau.design/,25
fallback:/favicon.ico,ok,https://frerejones.com/favicon.ico,frere-jones-type,Frere–Jones Type,https://frerejones.com/,24
icon,ok,https://p22.com/favicon.svg,hamilton-wood-type-collection,Hamilton Wood Type Collection,https://p22.com/fonts/?foundries=hwt,24
icon,ok,https://www.lucasfonts.com/favicons/favicon-32x32.png,lucasfonts,LucasFonts,https://www.lucasfonts.com/,24
icon,ok,https://www.luzi-type.ch/image/favicons/favicon.svg,luzi-type,Luzi Type,https://www.luzi-type.ch/,24
icon,ok,https://www.r-typography.com/favicon-32x32.png,r-typography,R-Typography,https://www.r-typography.com/,24
icon,ok,https://www.bb-bureau.fr/favicon-32x32.png,bb-bureau,bb-bureau,https://www.bb-bureau.fr/,24
icon,ok,https://liptonletterdesign.com/img/lipton-logo.svg,lipton-letter-design,Lipton Letter Design,https://liptonletterdesign.com/,23
icon,ok,https://www.outofthedark.swiss/favicon/android-icon-192x192.png,out-of-the-dark,Out of the Dark,https://www.outofthedark.swiss/,23
shortcut icon,ok,https://luxtypo.com/cdn/shop/t/7/assets/favicon.ico?v=124196783063127389801655354511,lux-typo,Lux Typo,https://luxtypo.com,22
icon,ok,https://ndiscover.com/uploads/2020/04/cropped-favicon-32x32.jpg,ndiscover,Ndiscover,https://ndiscover.com,22
shortcut icon,ok,https://www.re-type.com/favicon.ico,retype,ReType,https://www.re-type.com/,22
icon,ok,https://shinntype.com/wp-content/uploads/2021/07/cropped-shinntypelogo-32x32.jpg,shinntype,ShinnType,https://shinntype.com/,22
icon,ok,https://dotless-type.com/wp-content/uploads/2023/11/cropped-web_logo-32x32.jpg,dotless-type,Dotless type,https://dotless-type.com/,21
,not_found,,dutch-type-library,Dutch Type Library,https://www.dutchtypelibrary.nl/,21
,not_found,,brownfox,Brownfox,https://brownfox.org/,20
icon,ok,https://pandekafoundry.com/wp-content/uploads/2025/01/pandeka-favicon-150x150.png,pandeka-studio,Pandeka Studio,https://pandekafoundry.com/,20
,not_found,,giulia-boggio,Giulia Boggio,https://www.giuliaboggio.xyz/,19
,not_found,,juri-zaech,Juri Zaech,https://www.juri-zaech.com/,19
fallback:/favicon.ico,ok,https://ott-foundry.com/favicon.ico,ott-ornamental-title-type,OTT — Ornamental & Title Type,https://ott-foundry.com/,19
