designer_id,foundry_id,role,source
edward-dzulaj,july-type,designer,designers.affiliations
anton-fros,shriftovik-type-foundry,designer,designers.affiliations
alessandro-butti,reber-r41,designer,designers.affiliations
alessandro-butti,archivio-tipografico,designer,designers.affiliations
elaine-lustig-cohen,hamilton-wood-type-collection,designer,designers.affiliations
graham-bradley,a,designer,designers.affiliations
graham-bradley,mckl,designer,designers.affiliations
helene-marian,nan,designer,designers.affiliations
greg-gazdowicz,commercial-type,designer,designers.affiliations
maria-gusareva,shriftovik-type-foundry,designer,designers.affiliations
alexandre-crequer,alexandre-crequer,designer,designers.affiliations
alexis-navarro,compania-tipografica-de-chile,designer,designers.affiliations
eli-castellanos,dalton-maag,designer,designers.affiliations
eli-castellanos,sudtipos,designer,designers.affiliations
elias-hanzer,dinamo,designer,designers.affiliations
elias-hanzer,hal-typefaces,designer,designers.affiliations
elle-williams,the-letters,designer,designers.affiliations
elliott-scott,self-released,designer,designers.affiliations
emanuela-conidi,dalton-maag,designer,designers.affiliations
hugues-gentile,nan,designer,designers.affiliations
ludovico-degli-arrighi,p22-type-foundry,designer,designers.affiliations
dan-gneiding,lost-type-co-op,Typeface,designers.affiliations
frances-macleod,lost-type-co-op,Typeface,designers.affiliations
neil-secretario,lost-type-co-op,Type Design,designers.affiliations
ryan-clark,lost-type-co-op,Typeface,designers.affiliations
alina-ipatova,typetype-foundry,designer,designers.affiliations
alisa-nowak,black-foundry,designer,designers.affiliations
alvin-lustig,hamilton-wood-type-collection,designer,designers.affiliations
emerson-eller,eller-type,designer,designers.affiliations
emerson-eller,blackletra,designer,designers.affiliations
rick-murphy,lost-type-co-op,Magic,designers.affiliations
eliott-grunewald,ott-ornamental-title-type,designer,designers.affiliations
mike-fortress,lost-type-co-op,Typeface,designers.affiliations
pandeka-studio,pandeka-studio,designer,designers.affiliations
2point3-studio,f37,designer,designers.affiliations
alja-herlah,dotless-type,designer,designers.affiliations
alja-herlah,type-salon,designer,designers.affiliations
amelie-bonet,dalton-maag,designer,designers.affiliations
amelie-bonet,the-northern-block,designer,designers.affiliations
amelie-bonet,pangram-pangram,designer,designers.affiliations
amelie-bonet,self-released,designer,designers.affiliations
amelie-bonet,kerns-cairns,designer,designers.affiliations
joe-prince,lost-type-co-op,Typeface,designers.affiliations
alonzo-felix,lost-type-co-op,Typeface,designers.affiliations
inga-plonnigs,flavia-zimbardi,designer,designers.affiliations
inga-plonnigs,inga-plonnigs,designer,designers.affiliations
inga-plonnigs,monokrom,designer,designers.affiliations
inga-plonnigs,commercial-type,designer,designers.affiliations
arthur-reinders-folmer,typearture,designer,designers.affiliations
james-t-edmondson,lost-type-co-op,Typeface,designers.affiliations
isabel-motz,velvetyne,designer,designers.affiliations
ivelina-martinova,fontfabric,designer,designers.affiliations
stefan-claudius,cape-arcona-type-foundry,Co-Founder,designers.affiliations
andrej-dienes,typemates,designer,designers.affiliations
ania-wielunska,capitalics-wtf,designer,designers.affiliations
anouk-pennel,production-type,designer,designers.affiliations
heinrich-laudahn,fdi-type-foundry,designer,designers.affiliations
jacopo-atz,ecal-typefaces,designer,designers.affiliations
jill-pichotta,carter-cone,designer,designers.affiliations
jitka-schneider,obrysy,designer,designers.affiliations
marina-khodak,typetype-foundry,designer,designers.affiliations
bonnie-clas,lost-type-co-op,Typeface,designers.affiliations
tim-boelaars,lost-type-co-op,Illustration,designers.affiliations
thomas-schostok,cape-arcona-type-foundry,Co-Founder,designers.affiliations
alvaro-franca,naipe-foundry,designer,designers.affiliations
eric-olson,process-type-foundry,designer,designers.affiliations
ines-davodeau,blaze-type,designer,designers.affiliations
ines-davodeau,overtype,designer,designers.affiliations
jakob-runge,typemates,designer,designers.affiliations
james-plattner,eponymous-studio,designer,designers.affiliations
james-plattner,james-plattner,designer,designers.affiliations
ilya-ruderman,commercial-type,designer,designers.affiliations
ilya-ruderman,swiss-typefaces,designer,designers.affiliations
ilya-ruderman,cstm-fonts,designer,designers.affiliations
ilya-ruderman,tipografies,designer,designers.affiliations
richie-stewart,lost-type-co-op,Illustration,designers.affiliations
flavia-zimbardi,undercase-type,designer,designers.affiliations
flavia-zimbardi,flavia-zimbardi,designer,designers.affiliations
aadarsh-rajan,eponymous-label,designer,designers.affiliations
ariel-garofalo,sudtipos,designer,designers.affiliations
david-jonathan-ross,david-jonathan-ross,founder,designers.affiliations
david-jonathan-ross,font-bureau,designer,designers.affiliations
david-jonathan-ross,type-network,designer,designers.affiliations
fadhl-haqq,holdon-type,designer,designers.affiliations
fadhl-haqq,nan,designer,designers.affiliations
fanch-le-henaff,skritur,designer,designers.affiliations
karsten-luecke,tiro-typeworks,designer,designers.affiliations
luke-prowse,nan,designer,designers.affiliations
